翡翠直播,#genre#
翡翠台,http://cdn3.1678520.xyz/live/?id=fct4k$4K超高清-官频
翡翠台,https://live.hkdvb.com/hls/live/800.m3u8?token=711869165720741$4K超高清-智能
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn$超宽频主线
翡翠台,http://cdn3.1678520.xyz/live/?id=fct
翡翠台,http://cdn3.1678520.xyz/live/?id=fct2
翡翠台,https://lzoq.serv00.net/daili/Smartv.php?id=jade_twn
翡翠台,http://cdn10.jdshipin.com:8880/fct/
翡翠台,http://php.jdshipin.com:8880/xsj.php?id=feicui
翡翠台,http://cdn9.1678520.xyz/xsj2.1.php?id=feicui
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct4
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,https://live.hkdvb.com/hls/live/81.m3u8?token=711869165720741
翡翠台,http://123.150.5.131:9000/tvb翡翠盗源可耻/易發TV专用.live.flv
翡翠台,http://120.211.93.113:8089/tvb翡翠-盗源可耻/易發TV专用.live.ts

地波翡翠,http://120.84.121.62:808/hls/25/index.m3u8
地波翡翠,http://nz171l122.bb60246.ctm.net:8889/bysid/1.m3u8
地波翡翠,http://beishan008.asuscomm.com:8889/bysid/1.m3u8
地波翡翠,http://grandprix2023.asuscomm.com:8889/bysid/1.m3u8
地波翡翠,http://1b6467f415.iok.la:9931/tsfile/live/1007_1.m3u8
地波翡翠,http://godiptv.dns.navy:1024/aitv/play/4/3878N90ADDJI4093/436EJI55J2E2729J
地波翡翠,http://godiptv.dns.navy:1024/aitv/play/4/3878N90ADDJI4093/747159E7ID66E405
地波翡翠,http://godiptv.dns.navy:1024/aitv/play/4/3878N90ADDJI4093/0JDDEI6IEAD74731
地波翡翠,http://godiptv.dns.navy:1024/aitv/play/4/3878N90ADDJI4093/817I0963682I0744
地波翡翠,http://godiptv.dns.navy:1024/aitv/play/4/3878N90ADDJI4093/E93A796968A2789N

明珠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt$超宽频主线
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
明珠台,http://xyt.186738613.xyz/Smartv.php?id=pearl_twn
明珠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt2
明珠台,http://php.jdshipin.com:8880/ub.php?id=mzt

重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://36.108.172.237:10097/stream/channelid/1129822714
重温经典,http://36.108.172.237:10005/stream/channelid/1658622386?ticket=cee7f3f6fd238a746e4e7a2b018ee411947ffe3d&profile=pass
重温经典,http://117.114.153.12:8180/TV00000000000000000007@HHZT
